Date,Open,High,Low,Close,Adj Close,Volume
2006-02-23,1010.929993,1018.809998,1008.489990,1009.190002,1009.190002,0
2006-02-24,1008.989990,1014.909973,1006.609985,1012.070007,1012.070007,0
2006-02-27,1013.609985,1024.569946,1012.869995,1021.070007,1021.070007,0
2006-02-28,1019.169983,1024.339966,1006.909973,1009.840027,1009.840027,0
2006-03-01,1014.809998,1036.920044,1014.700012,1035.209961,1035.209961,0
2006-03-02,1031.010010,1041.199951,1030.609985,1037.719971,1037.719971,0
2006-03-03,1030.530029,1050.400024,1029.859985,1036.260010,1036.260010,0
2006-03-06,1039.209961,1040.770020,1018.320007,1023.039978,1023.039978,0
2006-03-07,1018.140015,1018.140015,1006.130005,1010.950012,1010.950012,0
2006-03-08,1006.549988,1014.219971,998.919983,1008.349976,1008.349976,0
2006-03-09,1013.710022,1022.049988,1003.599976,1003.599976,1003.599976,0
2006-03-10,1003.859985,1011.580017,994.809998,1003.140015,1003.140015,0
2006-03-13,1007.250000,1014.630005,1004.710022,1006.150024,1006.150024,0
2006-03-14,1002.830017,1020.760010,1002.830017,1019.239990,1019.239990,0
2006-03-15,1023.169983,1032.099976,1020.880005,1032.030029,1032.030029,0
2006-03-16,1037.099976,1039.099976,1019.260010,1019.270020,1019.270020,0
2006-03-17,1020.849976,1028.000000,1014.780029,1024.939941,1024.939941,0
2006-03-20,1027.849976,1030.160034,1022.070007,1025.959961,1025.959961,0
2006-03-21,1026.449951,1042.859985,1020.210022,1021.109985,1021.109985,0
2006-03-22,1014.770020,1027.599976,1014.190002,1026.209961,1026.209961,0
2006-03-23,1024.199951,1029.199951,1018.739990,1025.910034,1025.910034,0
2006-03-24,1029.650024,1037.089966,1026.010010,1033.770020,1033.770020,0
2006-03-27,1032.770020,1038.770020,1032.060059,1034.010010,1034.010010,0
2006-03-28,1032.469971,1040.550049,1025.030029,1028.270020,1028.270020,0
2006-03-29,1031.410034,1053.079956,1029.959961,1048.760010,1048.760010,0
2006-03-30,1052.400024,1058.689941,1046.689941,1053.310059,1053.310059,0
2006-03-31,1055.859985,1057.819946,1046.959961,1048.800049,1048.800049,0
2006-04-03,1054.310059,1060.510010,1047.640015,1049.219971,1049.219971,0
2006-04-04,1048.949951,1055.260010,1046.979980,1050.150024,1050.150024,0
2006-04-05,1052.040039,1069.599976,1051.760010,1066.900024,1066.900024,0
2006-04-06,1066.530029,1076.589966,1065.099976,1073.849976,1073.849976,0
2006-04-07,1074.250000,1078.709961,1058.699951,1061.550049,1061.550049,0
2006-04-10,1061.280029,1065.030029,1054.270020,1057.300049,1057.300049,0
